Building Type,2024 EUI,2024 GUI,Chilled Water System Efficiency (kW/RT),Air-side Efficiency (kW/RT)
Mixed development,198.6996848,43.57388982,0.698,0.698
Civic, community & cultural inst.,84.60046807,43.35461127,0,0
Mixed development,255.1650901,42.41924186,0.9,0
Hotel,216.5248973,42.3497156,0.53,0
Hotel,251.7123288,41.13977084,0.6,0.121
Office,165.2350482,41.00708972,0.55,0.17
Retail,584.3050984,40.82729899,0.605,0.297
Retail,530.0629674,40.67983454,0.64,0
Nursing home,83.68105044,40.11684441,0,0
Mixed development,318.9674601,39.6056432,0.69,0
Nursing home,102.8393929,39.04831124,0,0
Retail,130.1424126,38.96088708,0.3,0
Mixed development,364.6317367,38.40802864,0.59,0.35
Hotel,340.2819851,38.34350084,0.73,0.57
Mixed development,302.3397272,38.23243671,0.69,0.218
Nursing home,99.77423688,37.92280525,0,0
Mixed development,321.9628646,37.40026371,0.643,0.209
Hotel,194.7480602,36.92040134,0.83,0.83
Mixed development,200.0844638,36.58955707,0.537,0.23
Sports & Recreation,207.9300822,36.46858513,0,0
Nursing home,76.32833758,36.12449582,0,0
Retail,893.4350507,36.08987355,0.65,0.25
Mixed development,289.4824475,36.00225239,0.605,0.264
Mixed development,155.9514556,35.86011645,0,0.454
Mixed development,258.7404335,35.64590849,0.65,0.301
Mixed development,239.8212938,35.30665981,0.623,0
Nursing home,97.29282205,35.19477802,0,0
Mixed development,140.2166171,35.18401067,0,0
Mixed development,318.6167565,34.76950603,0.65,0.3
Nursing home,124.4279037,34.32032975,0,0
Retail,342.2165075,34.00710732,0,0
Hotel,283.6142586,33.80097924,0.618,0
Mixed development,287.3094998,33.68162759,0.7,0.19
Hotel,181.7342529,33.22316311,0.627,0
Civic, community & cultural inst.,240.9744741,32.79552716,0,0
Mixed development,291.8508015,32.61764597,0.85,0
Mixed development,138.7728792,32.08999093,0.648,0.0851
Mixed development,407.952007,31.82037609,0.65,0
Mixed development,341.6311889,31.77966102,0.664,0
Retail,335.6655329,31.65256114,0.6,0.25
Mixed development,396.6750925,31.42110011,0.795,0.229
Mixed development,457.8573046,31.20863681,1,0
Nursing home,75.06400026,30.54576626,0,0.61
Nursing home,81.71755234,30.24994604,0,0
Hotel,244.9320496,30.17407107,0,0
Mixed development,279.5212573,30.0012421,0.65,0
Mixed development,297.5867682,29.99781315,0.59,0
Sports & Recreation,223.9626547,29.94024704,0,0
Mixed development,241.0319937,29.76984097,0.597,0.411
Mixed development,375.7606521,29.69692816,0.645,0.271
Retail,401.4993092,29.30666139,0,0
Hotel,380.9507143,29.28907563,0.542,0.27
Mixed development,232.8222518,28.85805164,0.67,0.3
Retail,374.5423077,28.71153846,0.95,0.786
Hotel,353.2857444,28.69156732,0.4,0.36
Mixed development,225.7632177,28.65338594,0.65,0
Hotel,217.8009956,28.49236442,0.62,0.24
Mixed development,165.7722784,28.27187516,0.495,0
Mixed development,175.8385817,27.99642553,0,0
Nursing home,104.5799318,27.72782946,0,0
Mixed development,340.2058123,27.41826534,0,0.95
Mixed development,220.2845714,27.412828,0.7,0.25
Retail,426.7186376,27.33444976,0,0
Mixed development,232.2269276,27.32514921,0,0
Hotel,264.7541627,27.20865519,0.68,0
Hotel,222.8087865,27.03681075,0.569,0.237
Mixed development,203.9637242,27.01218032,0.63,0.2
Retail,59.80538751,26.89029819,0,0
Mixed development,401.9916383,26.8068997,0.6047,0.1966
Hotel,191.9538788,26.72714275,0.624,0
Nursing home,74.9888067,26.59054576,0,0
Nursing home,152.1038924,26.30978696,0,0.306
Nursing home,96.91666537,26.28882863,0,0
Sports & Recreation,213.0523596,25.9516808,0,0
Mixed development,203.8747921,25.8825374,0,0
Nursing home,121.0288422,25.81305597,0,0
Mixed development,261.2963782,25.77798471,0.68,0.86
Hotel,239.80262,25.75082117,0.754,0
Mixed development,253.5687253,25.57186571,0.845,0.23
Civic, community & cultural inst.,81.88107633,25.30950787,0,0
Mixed development,228.7263968,24.85964898,0.6,0
Nursing home,81.83624315,24.51900717,0,0.68
Mixed development,217.1015586,23.94013227,0.65,0
Office,166.4250488,23.84318949,0.62,0
Nursing home,113.9712209,23.65895349,0,0
Mixed development,244.1828577,23.48411015,0.7,0
Mixed development,149.65286,23.41454465,0.483,0
Hotel,249.3213243,23.29450783,0.613,0
Nursing home,87.89815194,23.22617671,0,0
Mixed development,180.1103775,23.12100176,0.64,0
Mixed development,287.8135324,23.02879037,0.597,0.3
Nursing home,116.7722182,22.84309091,0,0
Nursing home,151.1483226,22.72813953,0,0
Hotel,217.0641488,22.48486711,0.8,0.2
Retail,412.163361,22.45033758,0,0
Civic, community & cultural inst.,196.583171,22.40978321,0.9,0
Hotel,317.4635616,22.19542989,0.609,0.154
Mixed development,16.67287237,22.16422292,0,0
Nursing home,106.0790691,22.12685307,0,0
Retail,243.6065152,21.82402894,0,0
Mixed development,224.0408001,21.73528631,0.719,0.285
Hotel,138.5115957,21.65152001,0.25,0.69
Mixed development,157.9576069,21.30142178,0.58,0.70 
Mixed development,215.1239658,21.21930803,0.446,0.182
Hotel,293.9720859,21.08374233,0.65,0
Nursing home,62.10438405,21.01882072,0,0
Nursing home,58.69082126,20.93687601,0,0
Hotel,100.7549492,20.87435558,0,0
Hotel,419.0999167,20.73525872,0,0
Nursing home,124.6279518,20.66794278,0,0
Mixed development,257.4519777,20.64193712,1,0
Mixed development,199.4416413,20.28766706,0.73,0.22
Civic, community & cultural inst.,206.451735,20.04760327,0.65,0
Mixed development,219.6065401,19.81341079,0,0
Mixed development,290.0799521,19.62358024,0.99,1.5
Mixed development,227.0266667,19.52464286,0.65,0
Mixed development,473.8022992,19.36194583,0,0
Mixed development,205.5752051,19.30110713,0,0.15
Mixed development,75.73089908,19.30088032,0.58,0.165
Mixed development,243.158805,19.09504557,0.6,0.201
Retail,169.6023384,19.08177642,0,1.07
Hotel,380.3107675,18.98718736,0.65,0.233
Nursing home,86.28278003,18.77970415,0,0
Nursing home,121.920618,18.67396085,0,0
Retail,499.0522619,18.56432806,0,0
Mixed development,304.417945,18.42886413,0.556,0
Hotel,274.3558084,18.35775936,0,0
Mixed development,205.7015916,18.32570685,0.61,0.2466
Mixed development,169.5614504,18.32350636,0.593,0.333
Mixed development,211.6122725,17.93814071,0.751,0
Mixed development,345.3876322,17.91624795,0.52,0
Office,128.5120003,17.9137724,0.2186,0
Hotel,301.4964861,17.90220581,0.58,0.47
Mixed development,194.0554959,17.87301344,0.58,0.91
Nursing home,86.1969,17.82233333,0,0
Mixed development,220.5480756,17.69142465,0.65,0.4
Mixed development,104.515508,17.57653764,0.61,0.1
Nursing home,76.78799805,17.56236306,0,0
Nursing home,77.1595703,17.09182153,0,0
Hotel,282.389666,17.07501776,0.681,0
Mixed development,198.2291852,17.0206858,0.59,0
Retail,214.8837363,16.92858381,0.5935,0
Hotel,193.536679,16.85632663,0.657,0.657
Nursing home,120.6041257,16.78411743,0,0
Retail,558.2897342,16.74862349,0,0
Mixed development,222.5058884,16.72589789,0.63,0.25
Office,77.89025813,16.621405,0,0
Sports & Recreation,162.3055444,16.51127704,0.91,0
Retail,217.5470986,16.26884848,0,0
Office,187.9508195,16.05570402,0,0
Hotel,262.497576,15.99218293,0.65,0
Hotel,194.5693225,15.76706785,0.67,0.21
Retail,263.144035,15.7656066,0.533,0
Retail,157.1505946,15.74398697,0,0
Mixed development,261.4640441,15.58955384,0.984,0.244
Hotel,169.4868851,15.56492341,0.675,0
Nursing home,34.73505902,15.54736728,0,0
Office,244.1307662,15.46799079,0,0
Mixed development,156.9736724,15.46540729,0.68,0.384
Nursing home,88.50559779,15.31029717,0,0
Hotel,285.1855024,15.11727578,0.49,0.096
Mixed development,214.0096406,14.81061001,0.6565,0.4472
Mixed development,247.1645047,14.65667216,0.74,0
Hotel,308.379432,14.23136758,0.615,0.127
Sports & Recreation,225.567329,14.10655469,0,0.33
Clinic,129.2777003,13.70509266,0,0
Mixed development,125.8028883,13.68026072,0.5672,0.3077
Nursing home,88.68935185,13.59388889,0,0
Mixed development,382.4713318,13.38193863,0.54,0.54
Mixed development,143.332225,13.35949834,0.67,0.19
Mixed development,210.0230825,13.22252798,0.578,0.2
Office,240.9031066,12.970513,0.699,0.409
Civic, community & cultural inst.,169.4598179,12.77300718,0.62,0.35
Office,181.8170427,12.75459443,0,0
Mixed development,229.496138,12.6662504,0.649,0.297
Hotel,334.6917661,12.45582885,0,0
Hotel,222.5343414,12.38527656,1.24,0
Hotel,207.0633027,12.31676821,0.77,0
Hospital,337.5596856,12.31092437,0.735,0
Civic, community & cultural inst.,85.40523611,12.19689638,0,0
Hotel,368.730468,12.17167275,1.4,0.4
Mixed development,219.1263554,12.01620512,0.579,0.288
Mixed development,195.3524775,11.85374075,0.54,0.192
Mixed development,188.6499608,11.83835462,0.75,0
Mixed development,190.8611563,11.64939887,0.98,0.57
Office,160.0799842,11.62903395,0.682,0
Hotel,213.5308008,11.52757536,0,0
Sports & Recreation,133.2591174,11.39087719,0,0
Hotel,204.228864,11.31743392,0.65,0.33
Civic, community & cultural inst.,108.632237,11.12495565,0.615,0
Mixed development,222.5889166,11.10471349,0.62,0.9
Nursing home,41.83365251,10.98145891,0,0
Mixed development,258.3053101,10.841879,0.6,0.53
Mixed development,87.59004429,10.7215917,0,0
Nursing home,70.02172848,10.69592818,0,0
Hotel,238.4425526,10.63766787,0.586,0.259
Hospital,337.6561632,10.58346501,0.76,0
Nursing home,80.87150083,10.5748337,0,0.705
Mixed development,326.0601647,10.51129701,0,0
Mixed development,236.789969,10.46235303,0.64,0.25
Hospital,181.6375206,10.40536441,0,0
Mixed development,224.2511422,10.35712709,0.647,0.4
Hotel,235.7151844,10.25802157,0.65,0.18
Hotel,228.2155283,10.12817674,0.59,0.076
Civic, community & cultural inst.,106.480898,10.0186416,0,0
Hotel,182.0016645,10.01326911,0.71075,0.16
Mixed development,172.2074665,9.928415782,0.0401,0.2014
Hospital,156.8706563,9.902158286,0.77,0
Hotel,375.2587696,9.882071,0.7,0
Hotel,350.7848766,9.781246432,0,0
Hotel,214.1910519,9.501997337,0.528,0
Retail,261.2147965,9.345360424,0.594,0.4
Hospital,353.2365263,8.968287656,0.73,0
Mixed development,185.2433663,8.879336991,0,0.192
Mixed development,154.7254057,8.55313944,0,0
Office,148.548767,8.391262136,0,0
Hotel,166.8277069,8.032945736,0.549,0.416
Sports & Recreation,139.1868727,7.992556671,0,0
Hotel,195.7707877,7.927933059,1.084,0.443
Retail,411.5997396,7.864010593,0,0
Mixed development,199.1077971,7.857052613,0.494,0.214
Mixed development,176.3988249,7.715512482,0.754,0
Office,155.2387232,7.669443352,0.69,0
Mixed development,258.7983532,7.664485537,0.81,0
Office,202.6695304,7.47299679,0.83,0
Mixed development,208.352917,7.464251159,0.688,0.504
Hospital,378.0218466,7.333195652,0.93,0
Mixed development,166.5956625,7.280501089,0.576,0.157
Hotel,239.6745154,7.133691275,0.532,0
Hotel,297.1759594,7.06942433,0.65,0.25
Hospital,329.5972613,6.974546876,0.63,0
Office,142.1554772,6.936883305,0.73,0.193
Hotel,216.6110672,6.647588933,0.697,0.2
Mixed development,246.6902033,6.597643253,0.736,0.31
Hospital,288.7218958,5.863281962,0.68,0.28
Hospital,304.6088651,5.670299562,0.61,0.32
Office,237.5203017,5.628680679,0,0
Hotel,253.2875518,5.626899171,1.36,1.36
Office,149.799067,5.598507704,0.49,0.115
Hotel,271.6467403,5.561784765,1.05,0
Hospital,322.7714988,5.559430639,0.7,0.15
Mixed development,218.4165792,5.523933431,0.295,0.8
Office,129.9936762,5.469404315,0.69,0.3
Civic, community & cultural inst.,141.678632,5.442568466,0,0
Office,142.0918227,5.34475775,0.6,0.7
Mixed development,294.872188,5.316423427,0.6,0.2
Hospital,79.23400463,5.133174495,1.39,0
Hospital,362.4302594,5.079664524,0.61,0
Mixed development,101.9645433,5.022547986,0.663,0.23
Sports & Recreation,211.0636227,5.002094255,0.633,0
Inst. of higher learning (IHL),96.37707707,4.974738098,0.62,0.27
Hospital,362.8313617,4.906960988,0.62,0.31
Hotel,185.159898,4.840886796,0,0
Office,205.8348751,4.810512589,1.346,0.35
Hotel,125.3574137,4.777383218,0.58,0.56
Sports & Recreation,44.87941984,4.441048836,0,0
Mixed development,140.6398645,4.440682127,0.649,0.333
Office,184.1593822,4.414593337,0.58,0.18
Mixed development,121.3090429,4.392084613,0.66,0.25
Office,139.057514,4.362935275,0.594,0.183
Hotel,312.6879136,4.347500279,0,0
Office,161.170787,4.332482499,0.56,0.276
Office,158.7090564,4.326329525,0.6,0
Hotel,338.2668187,4.132079057,0,0
Sports & Recreation,263.2604989,4.125977545,0,0
Inst. of higher learning (IHL),169.8266409,4.117027379,1.19,0
Retail,161.4182291,4.103915112,0,0
Civic, community & cultural inst.,70.14701208,3.968054673,0,0
Hotel,232.5090097,3.963020997,0.58,0
Mixed development,132.6002847,3.935059109,0.58,0.12
Inst. of higher learning (IHL),84.52579271,3.784136967,0.65,0
Hotel,248.0670567,3.698169817,0.62,0
Nursing home,98.43475501,3.625613639,0,0
Mixed development,503.704039,3.618523558,0.62,0
Office,177.6998229,3.585263522,0.706,0.311
Office,143.128286,3.566220592,0.569,0
Mixed development,175.2134983,3.541114233,0.65,0.12
Mixed development,179.8126823,3.489735876,0,0
Hotel,199.9441411,3.477634765,0,0
Hospital,250.1421847,3.382392776,0.6,0
Retail,369.3939806,3.380782593,1.4,0.3
Inst. of higher learning (IHL),54.61035592,3.353728059,0,0.54
Mixed development,108.8446667,3.289466667,0.825,0.89
Office,168.5853401,3.283579152,0.575,0.156
Retail,133.9659722,3.268650447,0.7,0.11
Hospital,295.4573277,3.220568061,0.79,0.4
Mixed development,259.2842613,3.107938258,0.55,0.3
Office,208.6700023,3.058102552,0.55,0
Retail,359.0318814,3.028643533,0.58,0.58
Civic, community & cultural inst.,48.32527532,2.922016295,0,0
Retail,160.5069895,2.811644768,0,0
Inst. of higher learning (IHL),157.34021,2.767851661,0,0
Hotel,310.8226091,2.76094549,0,0
Mixed development,219.5090976,2.690068861,1.08,0.35
Mixed development,133.5578403,2.657580658,0.562,0.355
Hotel,246.6557993,2.537724014,0,0
Inst. of higher learning (IHL),135.4206233,2.432256599,0.53,0
Office,74.82689373,2.267583007,0.62,0
Office,135.1166203,2.22553192,0.65,0.23
Hospital,154.2197746,2.066495074,0.58,0.26
Mixed development,268.5360096,1.982338097,0.6067,0.7763
Mixed development,215.9330222,1.865766481,0.77,0.77
Mixed development,44.96065097,1.859631255,0.5,0.18
Mixed development,127.0860924,1.839844274,0.45,0
Office,93.11608163,1.803145587,0.48,0
Sports & Recreation,148.1879002,1.78925133,0,0
Civic, community & cultural inst.,48.49738734,1.787150838,0,0
Mixed development,632.4750446,1.766013975,0.736,0
Mixed development,195.6459155,1.760904405,0,0
Civic, community & cultural inst.,146.7843832,1.715921893,0,0
Inst. of higher learning (IHL),65.24089077,1.651897837,0.584,0.153
Office,184.5755278,1.625561484,0.59,0.139
Inst. of higher learning (IHL),126.1316977,1.614604815,0.65,0
Mixed development,214.8373562,1.574084744,0.6,2.3
Mixed development,229.7624424,1.568864206,0.644,0.25
Office,108.6181969,1.563687723,0.572,0.255
Mixed development,509.9214578,1.541502452,0.741,0
Office,83.42521947,1.522092433,0.56,0.3
Civic, community & cultural inst.,176.8731226,1.516177128,0.529,0.3
Retail,93.46918704,1.484983646,0,0
Mixed development,177.5466154,1.456464957,0.834,0.25
Hospital,284.0424087,1.414616365,0.65,0
Mixed development,261.5209882,1.37125841,0.538,0.172
Hospital,279.3763567,1.351770368,0,0
Office,177.516463,1.345500107,0.63,0.18
Mixed development,162.1780615,1.164650133,0,0.28
Mixed development,154.5456434,1.149460789,0.65,0.14
Civic, community & cultural inst.,51.12786574,1.081750914,0,0
Inst. of higher learning (IHL),81.12804336,1.071085951,0.612,0.25
Inst. of higher learning (IHL),73.67496602,1.037135177,0.59,0.245
Office,126.9936907,1.028299931,0.631,0.376
Mixed development,199.4367131,0.932828746,0.522,0.278
Civic, community & cultural inst.,165.869751,0.922211408,0,0
Office,174.0096571,0.899012418,0.539,0.135
Hospital,291.7973681,0.888486111,0.614,0.322
Mixed development,41.22326178,0.870117845,0,0
Inst. of higher learning (IHL),144.8412431,0.837813695,0.846,0.444
Mixed development,71.43405305,0.830043183,0,0
Inst. of higher learning (IHL),175.4449817,0.822802527,0.59,0
Retail,130.3357977,0.810747664,0,0
Civic, community & cultural inst.,220.6607491,0.74436772,0,0.2
Office,123.5299539,0.743865846,0.72,0
Sports & Recreation,88.5831571,0.735461704,0.62,0
Office,161.2524552,0.734151619,0.6,0
Office,141.9325279,0.685654205,0.9,0
Mixed development,229.9036405,0.626986667,0.65,0.19
Retail,534.6082174,0.565217391,0.65,0
Office,40.08677651,0.523277705,0,0.179
Inst. of higher learning (IHL),96.90289828,0.503434797,1.523,0.3517
Sports & Recreation,193.8041581,0.494942017,0.73,0
Office,184.6694282,0.494067963,0.34,0
Office,110.3093077,0.490867373,0,0
Mixed development,167.2144585,0.480125678,0.7536,0.3776
Office,292.0485009,0.467297736,0.633,0.2
Mixed development,204.3551581,0.454997499,0.73,0.229
Office,150.4421016,0.412560302,0.503,0
Mixed development,428.4791874,0.386342278,0.78,1.04
Office,139.1511053,0.350053211,0,0
Office,170.3435826,0.350028331,0.549,0.122
Office,100.7199796,0.261094491,0.72,0
Office,198.6216629,0.259452671,0.54,0.25
Mixed development,381.4040102,0.258969429,0,0
Office,177.704294,0.138048162,0.59,0
Office,147.3759915,0.070220359,0.595,0
Office,144.6389544,0.057387321,0.65,0.4
Civic, community & cultural inst.,154.4477743,0.041878173,0.6,0
Civic, community & cultural inst.,168.2883308,0.026731401,0.68,0
Civic, community & cultural inst.,101.7132014,0.004856163,0,0
Office,127.8880579,0.003412201,0.567,0.133
Mixed development,473.1379878,0.001646506,0.68,0.12
Mixed development,70.07903666,0.000464037,0,0
Mixed development,269.3953585,0.00035976,0.699,0
Inst. of higher learning (IHL),30.04926728,0.000271116,0.59,0.16
Mixed development,180.6420136,0.000231167,0.595,0.21
Mixed development,1005.362867,0,1.07,0.3
Mixed development,864.9020482,0,0.65,0.65
Retail,745.6808223,0,0,0
Mixed development,737.7311284,0,0.55,0.3
Retail,728.8,0,0,0
Mixed development,726.5765831,0,0,0
Mixed development,645.836909,0,0.78,0
Mixed development,592.0845347,0,0.548,0.221
Mixed development,589.4519549,0,0.64,0
Mixed development,563.1750186,0,0,0
Mixed development,561.4584,0,0.67,0
Mixed development,553.6174081,0,0.627,0.134
Mixed development,550.1839985,0,0.85,0.23
Retail,548.7339523,0,0,0
Hospital,496.3810815,0,1.032,0
Hotel,484.7215625,0,0,0
Office,430.0313805,0,0.65,0.256
Civic, community & cultural inst.,417.2350256,0,0,0
Hospital,412.0131704,0,0.634,0.255
Hotel,409.4892867,0,0,1
Sports & Recreation,409.3647908,0,0,0
Mixed development,403.5116926,0,0.486,0
Sports & Recreation,383.452846,0,1.21,0
Civic, community & cultural inst.,383.1988205,0,0,0
Mixed development,376.7110128,0,1.08,0
Office,366.4630817,0,0,0
Retail,358.5897394,0,0,0
Hotel,345.4670802,0,0,0
Hotel,330.5915156,0,0,0
Office,329.1903911,0,0.804,0.241
Office,318.830665,0,0,0
Mixed development,307.0022054,0,0.6,0
Retail,305.4722662,0,0,0
Office,305.1020067,0,0,0
Mixed development,300.7019162,0,1.566,0
Mixed development,300.2157164,0,0,0
Mixed development,292.8313559,0,0.618,0.268
Mixed development,291.0826505,0,0,0.2154
Mixed development,290.9030569,0,0.58,0
Mixed development,285.6676981,0,0.672,0.2219
Hospital,285.4865515,0,0,0
Mixed development,283.7413612,0,0,0
Hotel,282.679601,0,0.751,0
Retail,280.6013046,0,0.586,0.385
Mixed development,279.3102714,0,0.75,0.58
Mixed development,277.8254602,0,0.52,0.65
Civic, community & cultural inst.,274.9597962,0,0,0
Office,273.6756385,0,0.64,0.2
Office,264.6453403,0,0.71,0
Office,263.1935213,0,0.66,0.17545
Mixed development,256.6210864,0,0,0
Hotel,256.3958664,0,0.65,0.35
Office,251.9498252,0,1,1
Hospital,249.8351321,0,0.573,0
Sports & Recreation,249.6972196,0,0,0
Sports & Recreation,242.5973376,0,0,0
Hospital,240.2405232,0,0.6,1.2
Office,236.4926336,0,0,0
Mixed development,230.2994832,0,0,0
Office,229.3626542,0,0.632,0
Retail,227.7947675,0,0.65,0.18
Office,227.3638329,0,0,0
Civic, community & cultural inst.,225.1366506,0,0,0
Sports & Recreation,225.1135456,0,0,0
Mixed development,224.4838042,0,0.806,0
Office,224.1893242,0,0,0
Mixed development,223.5044851,0,0,0
Office,220.5928273,0,0.615,0.7
Office,220.2919922,0,0,0
Office,219.7645268,0,0.68,0
Hospital,219.3403703,0,0,0
Mixed development,218.4160943,0,0,0
Mixed development,217.6252081,0,0.68,0.7
Civic, community & cultural inst.,216.957042,0,0,0
Retail,216.0070814,0,0,0
Office,212.8222832,0,0.891,0.311
Retail,212.7745471,0,0.624,0.5
Office,212.5629195,0,0,0.47
Hotel,210.9790722,0,0.55,0
Mixed development,210.958057,0,0,0
Clinic,209.3966949,0,0.6,0
Mixed development,207.8977085,0,0.92,0.57
Office,206.329487,0,0.923,0.87
Civic, community & cultural inst.,206.0232131,0,0,0
Mixed development,205.8903924,0,0.669,0.233
Mixed development,205.5500093,0,0,0
Civic, community & cultural inst.,205.1956178,0,0.81,0
Office,205.0567341,0,0,0
Mixed development,205.0056933,0,0,0
Office,201.7757108,0,0,0
Mixed development,201.4032996,0,0.56,0.31
Office,201.2481835,0,0,0.87
Mixed development,201.128588,0,0,0
Mixed development,201.0464503,0,0.6,0.18
Civic, community & cultural inst.,200.6524592,0,0.584,0.315
Clinic,199.738855,0,0,0
Office,199.5234732,0,0,1.47
Mixed development,199.4637961,0,0.598,0.191
Office,199.0316611,0,0,0
